genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
Oase1_d.AG.BY.AA		Romania_IUP	Oase Cave (Caraș-Severin, Anina)	Romania	Europe/Near East	45.12	21.9	39982.0	Upper Palaeolithic	M	0.051	55822.0	25775	9.797799999999999	2.1787	5.5275479999999995	14.068052	30978	0.029087	0.022423	1.297			not_estimable: Denisovan D is relative, not a percentage			broad	Moderate confidence	66.06	low_information=0.96;uncertainty=0.94;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.26;reference_instability=0.54;chromosome_instability=0.56;block_influence=0.44	0.07855726963608117	Pass	..	..	FuPääboNature2015	https://doi.org/10.1038/s41586-021-03335-3	ss.minus,ss.minus,ss.minus,ss.minus,ss.minus	False	wide_confidence_interval	complete	50.0	0.0979782372116347	0.0713438940257479	0.0279047701916915	9135.0	0.0713438940257479	transversion_proxy_only; terminal trimming requires reads	0.096883651600995	0.1088843495344494	0.0120006979334544	0.0865173239842205	0.1056229993107135	0.019105675326493	0.0101452830995788	28.0	14455.0	0.0985298700377187	0.0140530227665224	0.0738795625345764	0.1236546144277255	0.0962284870214602	0.0202518010548292	0.0526159670206633	0.1332871665205319	not_run: no validated general segment caller for EIGENSTRAT
I6558.AG		Ukraine_DonetsBasin_Eneolithic_SeredniiStih-3	Оleksandria (Donets Basin, Kharkiv Region, Kupianskyi District)	Ukraine	Caucasus/Central Asia	49.5406778	37.6979944	5456.0	Neolithic	M	0.08558549	33424.0	15162	8.1608	2.3636	3.5281439999999997	12.793456	16522	0.027038	0.026709	1.012			not_estimable: Denisovan D is relative, not a percentage	2000.0	0.208	broad	Likely artifact	73.04	low_information=0.99;uncertainty=1.00;contamination=1.00;damage=0.66;missing_qc=0.00;transversion_instability=0.00;reference_instability=0.98;chromosome_instability=0.43;block_influence=0.55	0.06156940568841868	Pass	n/a (<200 SNPs)	n/a (<2000 X SNPs)	LazaridisReichNature2025	https://doi.org/10.1038/s41586-024-08531-5	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ss.USER,ss.USER,ss.USER,ss.USER	False	wide_confidence_interval;contamination	complete	50.0	0.0816081672061792	0.1103262178189059	0.0410739236890218	4144.0	0.1103262178189059	transversion_proxy_only; terminal trimming requires reads	0.0671229561201433	0.08680967375567	0.0196867176355267	0.0748630464800548	0.0906758832597565	0.0158128367797017	0.0120968778764564	36.0	14455.0	0.081407804551005	0.0047969409118632	0.0729482813723003	0.0912646831705946	0.0813288992233505	0.0243788336770898	0.036106631032779	0.127252266754402	not_run: no validated general segment caller for EIGENSTRAT
WEZ39.SG		Germany_Tollensebattlefield_BA	Tollense-battlefield (Mecklenburg-Vorpommern, Mecklenburg-Vorpommern, Mecklenburgische Seenplatte)	Germany	Europe/Near East	53.74	13.31	3200.0	Bronze Age/Chalcolithic	M	0.05283325	37172.0	16233	8.071299999999999	2.0645000000000002	4.02488	12.117719999999998	18690	0.017381	0.025591	0.679			not_estimable: Denisovan D is relative, not a percentage	2000.0		broad	Likely artifact	68.26	low_information=0.98;uncertainty=0.88;contamination=1.00;damage=0.35;missing_qc=0.33;transversion_instability=0.05;reference_instability=0.91;chromosome_instability=0.37;block_influence=0.20	0.05935597894791569	Pass	..	n/a (<2000 X SNPs)	BurgerWegmannCurrBiol2020	https://doi.org/10.1016/j.cub.2020.08.033	minus	False	wide_confidence_interval;contamination	complete	50.0	0.0807134421616626	0.0697610738809236	0.0353255637514509	4578.0	0.0697610738809236	transversion_proxy_only; terminal trimming requires reads	0.0831248040105663	0.0991091223595115	0.0183956801978489	0.0747386916963849	0.0889437080947061	0.0142050163983212	0.0060815310761908	27.0	14455.0	0.0805494696949033	0.0069637278356498	0.0676848587798903	0.0948490672713791	0.0812111074238521	0.0206116746957003	0.0423540103089655	0.1243151899100686	not_run: no validated general segment caller for EIGENSTRAT
I18733.AG		Croatia_MLBA	Bezdanjača Cave (Lika-Senj County, Općina Vrhovine)	Croatia	Europe/Near East	44.8520052	15.4199444	3100.0	Bronze Age/Chalcolithic	F	0.03575578	36289.0	15928	7.840800000000001	2.2079999999999997	3.5131200000000007	12.16848	18105	0.039644	0.023406	1.694			not_estimable: Denisovan D is relative, not a percentage		0.171	broad	Low confidence	64.77	low_information=0.98;uncertainty=0.95;contamination=0.35;damage=0.52;missing_qc=0.33;transversion_instability=0.00;reference_instability=1.00;chromosome_instability=0.50;block_influence=0.30	0.05750557892844671	Pass	n/a (female)	n/a (female)	LazaridisReichScience2022	https://doi.org/10.1126/science.abm4247	ds.half,ss.USER	False	wide_confidence_interval	complete	50.0	0.0784078797531957	0.089175551061984	0.0475893042972045	4240.0	0.089175551061984	transversion_proxy_only; terminal trimming requires reads	0.0718357232317353	0.1001491983599775	0.0283134751282422	0.0694231621191689	0.0870024075631362	0.0175792454439673	0.0077735429452692	27.0	14455.0	0.0786304066226014	0.0064001003079258	0.0658262177233138	0.0903988817992825	0.0796870643191416	0.022005093273266	0.0378425589380275	0.1223034109739088	not_run: no validated general segment caller for EIGENSTRAT
GER003_d.AG		Spain_Gravettian	Mollet III (Catalonia, Girona, Serinyà)	Spain	Europe/Near East	42.1686	2.7445	27203.0	Upper Palaeolithic	M	0.0512	56200.0	26251	7.7066	1.7301	4.3156039999999996	11.097596	28783	0.027309	0.018489	1.477			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	56.1	low_information=0.95;uncertainty=0.70;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.44;chromosome_instability=0.36;block_influence=0.22	0.05727551936300836	Pass	..	..	PosthKrauseNature2023	https://doi.org/10.1038/s41586-023-05726-0	ss_minus	False	wide_confidence_interval	complete	50.0	0.0770657075955846	0.0814983159692031	0.0262548342308724	10462.0	0.0814983159692031	transversion_proxy_only; terminal trimming requires reads	0.0755145680523044	0.0857992933413114	0.010284725289007	0.0688574924114759	0.082827579575353	0.013970087163877	0.0063610807923919	24.0	14455.0	0.0773935506448666	0.0135703526718923	0.0512382643649252	0.1054386710119972	0.0758948781916967	0.0164242112707165	0.0452278689722673	0.1094825504008891	not_run: no validated general segment caller for EIGENSTRAT
I3525.AG		Hungary_LateC_EBA_Yamnaya	Sárrétudvari-Őrhalom (Hajdú-Bihar County, Püspökladány)	Hungary	Europe/Near East	47.24207	21.19861	4675.0	Bronze Age/Chalcolithic	M	0.03401675	35743.0	15940	7.502000000000001	2.1568	3.274672	11.729328	18047	0.018543	0.02118	0.875			not_estimable: Denisovan D is relative, not a percentage	2000.0	0.135	broad	Likely artifact	67.22	low_information=0.98;uncertainty=0.93;contamination=1.00;damage=0.39;missing_qc=0.00;transversion_instability=0.00;reference_instability=0.71;chromosome_instability=0.65;block_influence=0.29	0.05405944590382293	Pass	n/a (<200 SNPs)	n/a (<2000 X SNPs)	LazaridisReichNature2025	https://doi.org/10.1038/s41586-024-08531-5	ds.half	False	wide_confidence_interval;contamination	complete	50.0	0.0750202492094451	0.1547975268142973	0.0460448550588158	4274.0	0.1547975268142973	transversion_proxy_only; terminal trimming requires reads	0.071302848500473	0.0861745874845728	0.0148717389840997	0.0643743852130977	0.0855175451695195	0.0211431599564217	0.0075544407538155	5.0	14455.0	0.074861343938706	0.0068369630885515	0.0621902413587993	0.0874721392374978	0.0717008807414581	0.0205037085369869	0.0285075236498593	0.1101907816627215	not_run: no validated general segment caller for EIGENSTRAT
CGG_2_106040.SG		Denmark_SdrTranderAalborg_PreImperialRoman	Sdr. Trander, Aalborg (Jutland)	Denmark	Europe/Near East	57.0508547	9.90639486	1764.0	Iron Age/Classical	M	0.0288	32593.0	14518	7.2427	2.1467	3.0351680000000005	11.450232	16028	-0.020488	0.030449	-0.673			not_estimable: Denisovan D is relative, not a percentage			broad	Likely artifact	65.76	low_information=0.99;uncertainty=0.92;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=1.00;chromosome_instability=0.59;block_influence=0.33	0.050840378269846616	PROVISIONAL_PASS	..	..	McCollWillerslevBioRxiv2025	https://doi.org/10.1101/2025.02.28.640770	..	False	wide_confidence_interval	complete	50.0	0.0724269262309592	0.1116822381593127	0.0405264654364466	3873.0	0.1116822381593127	transversion_proxy_only; terminal trimming requires reads	0.063400119801651	0.0909870057355221	0.027586885933871	0.0645650091103461	0.0843419437489069	0.0197769346385608	0.0082559981059657	46.0	14455.0	0.0724129490561192	0.0014063163470204	0.0699091554322373	0.0750391247588355	0.0696289835839996	0.0191095921151194	0.033423546016878	0.1073031408086248	not_run: no validated general segment caller for EIGENSTRAT
VK247.SG		Denmark_Viking-o	Lejre (Zealand Region)	Denmark	Europe/Near East	55.6	11.95	1075.0	Historical/Recent	F	0.05731598	48431.0	22385	7.1377999999999995	2.1441000000000003	2.9353639999999994	11.340236	24838	0.037671	0.01832	2.056			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	64.99	low_information=0.97;uncertainty=0.92;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.14;reference_instability=0.73;chromosome_instability=0.48;block_influence=0.39	0.04983871099506679	Pass	n/a (female)	n/a (female)	MargaryanWillerslevNature2020	https://doi.org/10.1038/s41586-020-2688-8	ds.minus	False	wide_confidence_interval	complete	50.0	0.0713779762525173	0.057896347094303	0.0315330296216139	7412.0	0.057896347094303	transversion_proxy_only; terminal trimming requires reads	0.0739005355426575	0.0867067901861227	0.0153288139336053	0.0644879243221425	0.0815693868579787	0.0170814625358362	0.0093980886134238	45.0	14455.0	0.0703705911457229	0.0120955876572419	0.0455485610815761	0.0925578887115251	0.0722333612261944	0.0236107271338769	0.0172726359994358	0.113562390535979	not_run: no validated general segment caller for EIGENSTRAT
CAN.019.SG		Spain_LaFortaleza_LateAntiquity	La Fortaleza (Canary Islands Islands, Gran Canaria Region)	Spain	Eurasia			1370.0	Historical/Recent	F	0.0284	32179.0	14455	7.097199999999999	1.9905	3.19582	10.998579999999999	15989	0.004763	0.026847	0.177			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	59.75	low_information=0.99;uncertainty=0.84;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.24;chromosome_instability=0.57;block_influence=0.24	0.049244888264747926	PROVISIONAL_PASS	n/a (female)	n/a (female)	SerranoFregelNatCommun2023	https://doi.org/10.1038/s41467-023-40198-w	ds.minus	False	wide_confidence_interval	complete	50.0	0.0709722252321193	0.0933335560072718	0.0440958686581645	4064.0	0.0933335560072718	transversion_proxy_only; terminal trimming requires reads	0.0776359126596099	0.0760008055130279	0.0066636874274906	0.0596841417413443	0.0789615340441541	0.0192773923028098	0.0066341001339852	13.0	14455.0	0.0709722252321193	0.0	0.0709722252321193	0.0709722252321193	0.0692357772642352	0.0186347785138789	0.0353705110086923	0.1065839402344205	not_run: no validated general segment caller for EIGENSTRAT
I2563.AG		Peru_LIP	Chanka (Ayacucho Region, Huancaraylla District)	Peru	Americas	-13.754052	-74.225667	650.0	Historical/Recent	F	0.03327629	35425.0	15523	6.8384	2.3153	2.300412	11.376388	17937	0.019084	0.031535	0.605			not_estimable: Denisovan D is relative, not a percentage		0.12	broad	Low confidence	63.56	low_information=0.98;uncertainty=1.00;contamination=0.35;damage=0.33;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.049221097893415916	Questionable	n/a (female)	n/a (female)	NakatsukaFehren-SchmitzCell2020	https://doi.org/10.1016/j.cell.2020.04.015	ds.half	False	wide_confidence_interval																										
DayindongM1_LowCov.AG		China_LBA	Dayindong (Yunnan, East_YN)	China	East Asia	24.0	105.0	3300.0	Bronze Age/Chalcolithic	F	0.0327	34268.0	14454	7.0001	2.5355	2.0305199999999997	11.969679999999999	21214	0.038163	0.022839	1.671			not_estimable: Denisovan D is relative, not a percentage			broad	Likely artifact	66.47	low_information=0.99;uncertainty=1.00;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.04884553112822601	PROVISIONAL_PASS	n/a (female)	n/a (female)	WangFuScience2025	https://doi.org/10.1126/science.adq9792	ss.minus	False	wide_confidence_interval																										
I5504.AG		England_Anglian	Pocklington (England, East Yorkshire)	United Kingdom	Europe/Near East	53.919396	-0.766635	1350.0	Historical/Recent	F	0.06091659	64651.0	28150	7.0124	1.6779	3.7237160000000014	10.301084	33113	0.022065	0.017898	1.233			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	58.4	low_information=0.95;uncertainty=0.68;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.00;reference_instability=0.95;chromosome_instability=0.47;block_influence=0.20	0.048679683039267424	Pass	n/a (female)	n/a (female)	PattersonReichNature2021	https://doi.org/10.1038/s41586-021-04287-4	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	False	wide_confidence_interval	complete	50.0	0.0701243970627066	0.0828269942469235	0.030627877394034	7357.0	0.0828269942469235	transversion_proxy_only; terminal trimming requires reads	0.0635951216100744	0.082670084078171	0.0190749624680966	0.0644325753585917	0.0812827705199294	0.0168501951613376	0.0060041916483058	18.0	14455.0	0.0702485522793489	0.0152656096865895	0.0397994207923588	0.0965742793869827	0.0702978984810396	0.0164866543389741	0.0408992781749191	0.0986594046000585	not_run: no validated general segment caller for EIGENSTRAT
MA1864.SG		Italy_Sicily_Epigravettian	San Teodoro (Sicily, Messina)	Italy	Europe/Near East	37.85	14.7	12200.0	Mesolithic/Epipalaeolithic	F		88404.0	40944	6.8145999999999995	1.5209000000000001	3.833636	9.795563999999999	43991	0.028157	0.015612	1.804			not_estimable: Denisovan D is relative, not a percentage			broad	Low confidence	59.17	low_information=0.91;uncertainty=0.59;contamination=0.35;damage=0.35;missing_qc=1.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.047973018677585993	Pass	n/a (female)	n/a (female)	ScorranoSikoraCommunBiol2022	https://doi.org/10.1038/s42003-022-04190-2	..	False																											
I4616.AG		Turkey_BA	Tatika (Southeast, Şırnak, Güçlükonak, Koçtepe köyü)	Turkey	Caucasus/Central Asia	37.5432	41.8662	4678.0	Bronze Age/Chalcolithic	M	0.02973304	31035.0	13623	6.7048	2.5516	1.7036639999999998	11.705936	15537	0.024826	0.026169	0.949			not_estimable: Denisovan D is relative, not a percentage	2000.0	0.232	broad	Likely artifact	72.98	low_information=0.99;uncertainty=1.00;contamination=1.00;damage=0.75;missing_qc=0.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.04759729127683138	Pass	..	n/a (<2000 X SNPs)	LazaridisReichScience2022	https://doi.org/10.1126/science.abm4247	ds.half	False	wide_confidence_interval;contamination																										
I12951.AG		Argentina_Chaco_1400BP_Chaco	El Cachapé V (Chaco Province, Primero de Mayo Dpto.)	Argentina	Americas	-26.89	-59.01	1100.0	Historical/Recent	M	0.06360553	66488.0	29242	6.5318000000000005	1.6021	3.3916840000000006	9.671916	35063	0.004641	0.019367	0.24			not_estimable: Denisovan D is relative, not a percentage	2000.0	0.108	broad	Low confidence	60.03	low_information=0.95;uncertainty=0.64;contamination=1.00;damage=0.29;missing_qc=0.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.046853855508374814	Pass	n/a (<200 SNPs)	n/a (<2000 X SNPs)	Maravall-LópezNoresNature2025	https://doi.org/10.1038/s41586-025-09731-3	ds.half	False	wide_confidence_interval;contamination																										
I17611.AG		Czechia_LBA	Hostivice-Palouky (Central Bohemian Region, Prague-West District)	Czechia	Europe/Near East	50.07885	14.280243	3050.0	Bronze Age/Chalcolithic	F	0.04030022	40809.0	17415	6.7717	2.093	2.66942	10.87398	20907	-0.034662	0.026575	-1.304			not_estimable: Denisovan D is relative, not a percentage		0.068	broad	Low confidence	59.38	low_information=0.98;uncertainty=0.89;contamination=0.35;damage=0.14;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.04654285267236821	Pass	n/a (female)	n/a (female)	PattersonReichNature2021	https://doi.org/10.1038/s41586-021-04287-4	ss.USER	False	wide_confidence_interval																										
